company,company_type,role,industry,start_date,end_date,priority,link
百度,民企,校园招聘,互联网,未知,招满即止,High,https://talent.baidu.com/jobs/list
腾讯,民企,校园招聘,互联网,未知,招满即止,High,https://join.qq.com/post.html?query=p_1
京东,民企,校园招聘,互联网,未知,招满即止,High,https://campus.jd.com/#/jobs
快手,民企,校园招聘,互联网,未知,招满即止,High,https://campus.kuaishou.cn/#/campus/index
阿里巴巴,民企,校园招聘,互联网,未知,招满即止,High,https://talent.alibaba.com/campus/position-list?campusType=graduate
字节跳动,民企,校园招聘,互联网,未知,招满即止,High,https://jobs.bytedance.com/zh/position
美团,民企,校园招聘,互联网,未知,招满即止,High,https://zhaopin.meituan.com/web/campus
网易,民企,校园招聘,互联网,未知,招满即止,High,https://game.campus.163.com/position
华为,民企,校园招聘,通信/互联网,未知,招满即止,High,https://career.huawei.com/reccampportal/portal5/campus-recruitment.html
小米,民企,校园招聘,消费电子,未知,招满即止,High,https://xiaomi.jobs.f.mioffice.cn/campus/
拼多多,民企,校园招聘,互联网,未知,招满即止,High,https://careers.pddglobalhr.com/campus/grad?t=jXsBunvmBf
小红书,民企,校园招聘,互联网,未知,招满即止,High,https://job.xiaohongshu.com/campus
哔哩哔哩,民企,校园招聘,互联网,未知,招满即止,High,https://jobs.bilibili.com/campus/positions?type=1
360,民企,校园招聘,互联网,未知,招满即止,High,https://360campus.zhiye.com/jobs
vivo,民企,校园招聘,消费电子,未知,招满即止,High,https://hr.vivo.com
oppo,民企,校园招聘,消费电子,未知,招满即止,High,https://careers.oppo.com/university/oppo/campus/post
微软,外企,校园招聘,互联网,未知,招满即止,High,https://jobs.careers.microsoft.com/global/en/search?lc=China&lc=Hong%20Kong%20SAR&lc=Taiwan&exp=Students%20and%20graduates&et=Graduate&l=en_us&pg=1&pgSz=20&o=Relevance&flt=true
苹果,外企,校园招聘,消费电子,未知,招满即止,High,https://jobs.apple.com/zh-cn/search?location=china-mainland
英特尔,外企,校园招聘,半导体,未知,招满即止,Normal,https://chinacampus.jobs.intel.cn/
IBM,外企,校园招聘,互联网,未知,招满即止,High,https://careers.ibm.com/job/search
高通,外企,校园招聘,半导体,未知,招满即止,Normal,https://www.qualcomm.cn/company/careers
戴尔,外企,校园招聘,消费电子,未知,招满即止,Normal,https://jobs.dell.com/search-jobs/China
米哈游,民企,校园招聘,游戏,未知,招满即止,Normal,https://jobs.mihoyo.com/#/campus/position
完美世界,民企,校园招聘,游戏,未知,招满即止,Normal,https://recruit.games.wanmei.com/campus-recruitment/perfect-world/94767/#/
网易游戏,民企,校园招聘,游戏,未知,招满即止,Normal,https://game.campus.163.com/position
腾讯游戏,民企,校园招聘,游戏,未知,招满即止,Normal,https://join.qq.com/post.html?query=p_2
叠纸,民企,校园招聘,游戏,未知,招满即止,Normal,https://career.papegames.com/campus/position/list?keywords=&category=&location=&project=&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=
蔚来,民企,校园招聘,新能源,未知,招满即止,High,https://nio.jobs.feishu.cn/campus/position/
理想,民企,校园招聘,新能源,未知,招满即止,High,https://www.lixiang.com/employ/social/list.html
联想,民企,校园招聘,消费电子,未知,招满即止,High,https://talent.lenovo.com.cn/position?projectType=1
小鹏,民企,校园招聘,新能源,未知,招满即止,High,https://xiaopeng.jobs.feishu.cn/campus/position/list
吉利,民企,校园招聘,新能源,未知,招满即止,High,https://campus.geely.com/campus-recruitment/geely/78436/#/jobs
中国银行,央国企,校园招聘,金融,未知,招满即止,Normal,https://campus.chinahr.com/pages/2024-boc-spring
招商银行,央国企,校园招聘,金融,未知,招满即止,Normal,https://career.cmbchina.com/positionlist
平安银行,民企,校园招聘,金融,未知,招满即止,Normal,https://campus.pingan.com/pab
北森,民企,校园招聘,互联网,未知,招满即止,High,https://beisen.zhiye.com/campus/jobs
金山软件,民企,校园招聘,互联网,未知,招满即止,High,https://join.wps.cn/campus-recruitment/wps/41436#/
腾讯云智,民企,校园招聘,互联网,未知,招满即止,High,https://app-tc.mokahr.com/campus-recruitment/csig/20001#/
深信服,民企,校园招聘,互联网,未知,招满即止,High,https://hr.sangfor.com/campucompon/schoolRecruitment
七牛云,民企,校园招聘,互联网,未知,招满即止,High,https://campus.qiniu.com/campus/jobs
帆软,民企,校园招聘,互联网,未知,招满即止,High,https://join.fanruan.com/
